section_number,section_id,section_key,chapter_number,chapter_title,section_title,content_type,include_in_rag
7.4.1,book_embodied_ai_intro_2024:7.4.1,book_embodied_ai_intro_2024:7.4.1,7,形态与控制的协同优化,形态变化阶段,core,true
7.4.2,book_embodied_ai_intro_2024:7.4.2,book_embodied_ai_intro_2024:7.4.2,7,形态与控制的协同优化,形态控制阶段,core,true
7.4.3,book_embodied_ai_intro_2024:7.4.3,book_embodied_ai_intro_2024:7.4.3,7,形态与控制的协同优化,学习算法,core,true
7.4.4,book_embodied_ai_intro_2024:7.4.4,book_embodied_ai_intro_2024:7.4.4,7,形态与控制的协同优化,实例分析,core,true
7.5,book_embodied_ai_intro_2024:7.5,book_embodied_ai_intro_2024:7.5,7,形态与控制的协同优化,前沿阅读,core,true
7.6,book_embodied_ai_intro_2024:7.6,book_embodied_ai_intro_2024:7.6,7,形态与控制的协同优化,小结,core,true
7.思考.1,book_embodied_ai_intro_2024:7.思考.1,book_embodied_ai_intro_2024:7.思考.1,7,形态与控制的协同优化,思考,exercise,false
8.0,book_embodied_ai_intro_2024:8.0,book_embodied_ai_intro_2024:8.0,8,视觉语言导航,章引言,epigraph,false
8.1,book_embodied_ai_intro_2024:8.1,book_embodied_ai_intro_2024:8.1,8,视觉语言导航,引言,core,true
8.2,book_embodied_ai_intro_2024:8.2,book_embodied_ai_intro_2024:8.2,8,视觉语言导航,问题描述,core,true
8.3,book_embodied_ai_intro_2024:8.3,book_embodied_ai_intro_2024:8.3,8,视觉语言导航,基本方法,core,true
8.3.1,book_embodied_ai_intro_2024:8.3.1,book_embodied_ai_intro_2024:8.3.1,8,视觉语言导航,模型结构,core,true
8.3.2,book_embodied_ai_intro_2024:8.3.2,book_embodied_ai_intro_2024:8.3.2,8,视觉语言导航,导航模型训练,core,true
8.4,book_embodied_ai_intro_2024:8.4,book_embodied_ai_intro_2024:8.4,8,视觉语言导航,实例分析,core,true
8.4.1,book_embodied_ai_intro_2024:8.4.1,book_embodied_ai_intro_2024:8.4.1,8,视觉语言导航,实验设置,core,true
8.4.2,book_embodied_ai_intro_2024:8.4.2,book_embodied_ai_intro_2024:8.4.2,8,视觉语言导航,实验结果,core,true
8.5,book_embodied_ai_intro_2024:8.5,book_embodied_ai_intro_2024:8.5,8,视觉语言导航,前沿阅读,core,true
8.6,book_embodied_ai_intro_2024:8.6,book_embodied_ai_intro_2024:8.6,8,视觉语言导航,小结,core,true
8.参考文献.1,book_embodied_ai_intro_2024:8.参考文献.1,book_embodied_ai_intro_2024:8.参考文献.1,8,视觉语言导航,参考文献,reference,false
8.思考.1,book_embodied_ai_intro_2024:8.思考.1,book_embodied_ai_intro_2024:8.思考.1,8,视觉语言导航,思考,exercise,false
9.0,book_embodied_ai_intro_2024:9.0,book_embodied_ai_intro_2024:9.0,9,视觉语义导航,章引言,epigraph,false
9.1,book_embodied_ai_intro_2024:9.1,book_embodied_ai_intro_2024:9.1,9,视觉语义导航,引言,core,true
9.2,book_embodied_ai_intro_2024:9.2,book_embodied_ai_intro_2024:9.2,9,视觉语义导航,问题描述,core,true
9.3,book_embodied_ai_intro_2024:9.3,book_embodied_ai_intro_2024:9.3,9,视觉语义导航,基本方法,core,true
9.3.1,book_embodied_ai_intro_2024:9.3.1,book_embodied_ai_intro_2024:9.3.1,9,视觉语义导航,模型结构,core,true
9.3.2,book_embodied_ai_intro_2024:9.3.2,book_embodied_ai_intro_2024:9.3.2,9,视觉语义导航,导航模型训练,core,true
9.4,book_embodied_ai_intro_2024:9.4,book_embodied_ai_intro_2024:9.4,9,视觉语义导航,基于场景图谱的视觉语义导航,core,true
9.4.1,book_embodied_ai_intro_2024:9.4.1,book_embodied_ai_intro_2024:9.4.1,9,视觉语义导航,场景图谱的生成,core,true
9.4.2,book_embodied_ai_intro_2024:9.4.2,book_embodied_ai_intro_2024:9.4.2,9,视觉语义导航,融入场景图谱的导航模型学习,core,true
9.5,book_embodied_ai_intro_2024:9.5,book_embodied_ai_intro_2024:9.5,9,视觉语义导航,实例分析,core,true
9.5.1,book_embodied_ai_intro_2024:9.5.1,book_embodied_ai_intro_2024:9.5.1,9,视觉语义导航,实验设置,core,true
9.5.2,book_embodied_ai_intro_2024:9.5.2,book_embodied_ai_intro_2024:9.5.2,9,视觉语义导航,实验结果,core,true
9.6,book_embodied_ai_intro_2024:9.6,book_embodied_ai_intro_2024:9.6,9,视觉语义导航,前沿阅读,core,true
9.7,book_embodied_ai_intro_2024:9.7,book_embodied_ai_intro_2024:9.7,9,视觉语义导航,小结,core,true
9.参考文献.1,book_embodied_ai_intro_2024:9.参考文献.1,book_embodied_ai_intro_2024:9.参考文献.1,9,视觉语义导航,参考文献,reference,false
9.思考.1,book_embodied_ai_intro_2024:9.思考.1,book_embodied_ai_intro_2024:9.思考.1,9,视觉语义导航,思考,exercise,false
10.0,book_embodied_ai_intro_2024:10.0,book_embodied_ai_intro_2024:10.0,10,具身场景语义描述,章引言,epigraph,false
10.1,book_embodied_ai_intro_2024:10.1,book_embodied_ai_intro_2024:10.1,10,具身场景语义描述,引言,core,true
10.2,book_embodied_ai_intro_2024:10.2,book_embodied_ai_intro_2024:10.2,10,具身场景语义描述,问题描述,core,true
10.3,book_embodied_ai_intro_2024:10.3,book_embodied_ai_intro_2024:10.3,10,具身场景语义描述,基本方法,core,true
10.3.1,book_embodied_ai_intro_2024:10.3.1,book_embodied_ai_intro_2024:10.3.1,10,具身场景语义描述,模型结构,core,true
10.3.2,book_embodied_ai_intro_2024:10.3.2,book_embodied_ai_intro_2024:10.3.2,10,具身场景语义描述,场景图像语言描述的评价,core,true
10.3.3,book_embodied_ai_intro_2024:10.3.3,book_embodied_ai_intro_2024:10.3.3,10,具身场景语义描述,模型训练,core,true
10.4,book_embodied_ai_intro_2024:10.4,book_embodied_ai_intro_2024:10.4,10,具身场景语义描述,实例分析,core,true
10.4.1,book_embodied_ai_intro_2024:10.4.1,book_embodied_ai_intro_2024:10.4.1,10,具身场景语义描述,实验设置,core,true
10.4.2,book_embodied_ai_intro_2024:10.4.2,book_embodied_ai_intro_2024:10.4.2,10,具身场景语义描述,实验结果,core,true
10.5,book_embodied_ai_intro_2024:10.5,book_embodied_ai_intro_2024:10.5,10,具身场景语义描述,物理实验,core,true
10.5.1,book_embodied_ai_intro_2024:10.5.1,book_embodied_ai_intro_2024:10.5.1,10,具身场景语义描述,机器人实验,core,true
10.5.2,book_embodied_ai_intro_2024:10.5.2,book_embodied_ai_intro_2024:10.5.2,10,具身场景语义描述,人机交互实验,core,true
10.6,book_embodied_ai_intro_2024:10.6,book_embodied_ai_intro_2024:10.6,10,具身场景语义描述,前沿阅读,core,true
10.7,book_embodied_ai_intro_2024:10.7,book_embodied_ai_intro_2024:10.7,10,具身场景语义描述,小结,core,true
10.参考文献.1,book_embodied_ai_intro_2024:10.参考文献.1,book_embodied_ai_intro_2024:10.参考文献.1,10,具身场景语义描述,参考文献,reference,false
10.思考.1,book_embodied_ai_intro_2024:10.思考.1,book_embodied_ai_intro_2024:10.思考.1,10,具身场景语义描述,思考,exercise,false
11.0,book_embodied_ai_intro_2024:11.0,book_embodied_ai_intro_2024:11.0,11,具身学习,章引言,epigraph,false
11.1,book_embodied_ai_intro_2024:11.1,book_embodied_ai_intro_2024:11.1,11,具身学习,引言,core,true
11.2,book_embodied_ai_intro_2024:11.2,book_embodied_ai_intro_2024:11.2,11,具身学习,问题描述,core,true
11.3,book_embodied_ai_intro_2024:11.3,book_embodied_ai_intro_2024:11.3,11,具身学习,基本方法,core,true
11.3.1,book_embodied_ai_intro_2024:11.3.1,book_embodied_ai_intro_2024:11.3.1,11,具身学习,模型结构,core,true
11.3.2,book_embodied_ai_intro_2024:11.3.2,book_embodied_ai_intro_2024:11.3.2,11,具身学习,模型训练,core,true
11.4,book_embodied_ai_intro_2024:11.4,book_embodied_ai_intro_2024:11.4,11,具身学习,实例分析,core,true
11.4.1,book_embodied_ai_intro_2024:11.4.1,book_embodied_ai_intro_2024:11.4.1,11,具身学习,实验设置,core,true
11.4.2,book_embodied_ai_intro_2024:11.4.2,book_embodied_ai_intro_2024:11.4.2,11,具身学习,实验结果,core,true
11.5,book_embodied_ai_intro_2024:11.5,book_embodied_ai_intro_2024:11.5,11,具身学习,前沿阅读,core,true
11.6,book_embodied_ai_intro_2024:11.6,book_embodied_ai_intro_2024:11.6,11,具身学习,小结,core,true
11.参考文献.1,book_embodied_ai_intro_2024:11.参考文献.1,book_embodied_ai_intro_2024:11.参考文献.1,11,具身学习,参考文献,reference,false
11.思考.1,book_embodied_ai_intro_2024:11.思考.1,book_embodied_ai_intro_2024:11.思考.1,11,具身学习,思考,exercise,false
12.0,book_embodied_ai_intro_2024:12.0,book_embodied_ai_intro_2024:12.0,12,具身多智能体协作,章引言,epigraph,false
12.1,book_embodied_ai_intro_2024:12.1,book_embodied_ai_intro_2024:12.1,12,具身多智能体协作,引言,core,true
12.2,book_embodied_ai_intro_2024:12.2,book_embodied_ai_intro_2024:12.2,12,具身多智能体协作,问题描述,core,true
12.3,book_embodied_ai_intro_2024:12.3,book_embodied_ai_intro_2024:12.3,12,具身多智能体协作,基本方法,core,true
12.3.1,book_embodied_ai_intro_2024:12.3.1,book_embodied_ai_intro_2024:12.3.1,12,具身多智能体协作,模型结构,core,true
12.3.2,book_embodied_ai_intro_2024:12.3.2,book_embodied_ai_intro_2024:12.3.2,12,具身多智能体协作,模型训练,core,true
12.4,book_embodied_ai_intro_2024:12.4,book_embodied_ai_intro_2024:12.4,12,具身多智能体协作,实例分析,core,true
12.4.1,book_embodied_ai_intro_2024:12.4.1,book_embodied_ai_intro_2024:12.4.1,12,具身多智能体协作,实验设置,core,true
12.4.2,book_embodied_ai_intro_2024:12.4.2,book_embodied_ai_intro_2024:12.4.2,12,具身多智能体协作,实验结果,core,true
12.5,book_embodied_ai_intro_2024:12.5,book_embodied_ai_intro_2024:12.5,12,具身多智能体协作,前沿阅读,core,true
12.6,book_embodied_ai_intro_2024:12.6,book_embodied_ai_intro_2024:12.6,12,具身多智能体协作,小结,core,true
12.参考文献.1,book_embodied_ai_intro_2024:12.参考文献.1,book_embodied_ai_intro_2024:12.参考文献.1,12,具身多智能体协作,参考文献,reference,false
13.0,book_embodied_ai_intro_2024:13.0,book_embodied_ai_intro_2024:13.0,13,总结与展望,章引言,introduction,true
13.1,book_embodied_ai_intro_2024:13.1,book_embodied_ai_intro_2024:13.1,13,总结与展望,形态的作用并未得到充分挖掘,core,true
13.2,book_embodied_ai_intro_2024:13.2,book_embodied_ai_intro_2024:13.2,13,总结与展望,仿真与物理世界的鸿沟尚未弥合,core,true
13.3,book_embodied_ai_intro_2024:13.3,book_embodied_ai_intro_2024:13.3,13,总结与展望,具身多模态感知方兴未艾,core,true
13.4,book_embodied_ai_intro_2024:13.4,book_embodied_ai_intro_2024:13.4,13,总结与展望,大模型成为具身智能发展的强大动力,core,true
13.参考文献.1,book_embodied_ai_intro_2024:13.参考文献.1,book_embodied_ai_intro_2024:13.参考文献.1,13,总结与展望,参考文献,reference,false
